Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Experiment;Sample;Overall_Design
GSE84880;Homo sapiens;GSM2253027;Vehicle-treated Replicate 1 1h;Yes;Cont;A;1;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253028;Vehicle-treated Replicate 1 2h;Yes;Cont;A;2;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253029;Vehicle-treated Replicate 1 6h;Yes;Cont;A;6;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253030;Vehicle-treated Replicate 1 18h;Yes;Cont;A;18;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253031;Vehicle-treated Replicate 2 1h;Yes;Cont;A;1;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253032;Vehicle-treated Replicate 2 2h;Yes;Cont;A;2;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253033;Vehicle-treated Replicate 2 6h;Yes;Cont;A;6;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253034;Vehicle-treated Replicate 2 18h;Yes;Cont;A;18;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253035;Vehicle-treated Replicate 3 1h;Yes;Cont;A;1;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253036;Vehicle-treated Replicate 3 2h;Yes;Cont;A;2;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253037;Vehicle-treated Replicate 3 6h;Yes;Cont;A;6;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253038;Vehicle-treated Replicate 3 18h;Yes;Cont;A;18;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253039;Vehicle-treated Replicate 4 1h;Yes;Cont;A;1;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
GSE84880;Homo sapiens;GSM2253040;Vehicle-treated Replicate 4 2h;Yes;Cont;A;2;Confluent BEAS-2B cells were treated with vehicle, Ind/GSK or GS-5759 for 1h, 2h, 6h or 18h. Total RNA was extracted, quantified (NanoDrop 2000) and the quality of each sample determined by using the Agilent 2100 Lab-on-a-Chip system before being processed for gene expression chnages by Expression Analysis Inc (Dunham, NC, USA).
