Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Experiment;Sample;Overall_Design
GSE982;Homo sapiens;GSM15421;AML1;No;Pret;A;1;
GSE982;Homo sapiens;GSM15422;AML2;No;Pret;A;1;
GSE982;Homo sapiens;GSM15423;AML3;No;Pret;A;1;
GSE982;Homo sapiens;GSM15424;AML4;No;Pret;A;1;
GSE982;Homo sapiens;GSM15425;AML5;No;Pret;A;1;
GSE982;Homo sapiens;GSM15426;AML6;No;Pret;A;1;
GSE982;Homo sapiens;GSM15427;poly1;No;Pret;A;2;
GSE982;Homo sapiens;GSM15428;poly2;No;Pret;A;2;
GSE982;Homo sapiens;GSM15429;poly3;No;Pret;A;2;
GSE982;Homo sapiens;GSM15430;mono1;No;Pret;A;3;
GSE982;Homo sapiens;GSM15431;mono2;No;Pret;A;3;
GSE982;Homo sapiens;GSM15432;mono3;No;Pret;A;3;
GSE982;Homo sapiens;GSM15437;undiff1;No;Pret;A;4;
GSE982;Homo sapiens;GSM15440;undiff2;No;Pret;A;4;
GSE982;Homo sapiens;GSM15446;undiff3;No;Pret;A;4;
GSE982;Homo sapiens;GSM15451;DMSO1;No;Cont;A;0;
GSE982;Homo sapiens;GSM15452;DMSO2;No;Cont;A;0;
GSE982;Homo sapiens;GSM15453;DMSO3;No;Cont;A;0;
GSE982;Homo sapiens;GSM15454;ATRA1;No;Pret;A;5;
GSE982;Homo sapiens;GSM15455;ATRA2;No;Pret;A;5;
GSE982;Homo sapiens;GSM15456;ATRA3;No;Pret;A;5;
GSE982;Homo sapiens;GSM15512;Erythro1;No;Pret;A;6;
GSE982;Homo sapiens;GSM15513;Erythro2;No;Pret;A;6;
GSE982;Homo sapiens;GSM15514;Erythro3;No;Pret;A;6;
GSE982;Homo sapiens;GSM15515;methyl1;No;Pret;A;7;
GSE982;Homo sapiens;GSM15516;methyl2;No;Pret;A;7;
GSE982;Homo sapiens;GSM15518;methyl3;No;Pret;A;7;
GSE982;Homo sapiens;GSM15520;sulma1;No;Pret;A;8;
GSE982;Homo sapiens;GSM15522;sulma3;No;Pret;A;8;
GSE982;Homo sapiens;GSM15526;sulma2;No;Pret;A;8;
GSE982;Homo sapiens;GSM15527;Keto1;No;Pret;A;9;
GSE982;Homo sapiens;GSM15529;Keto2;No;Pret;A;9;
GSE982;Homo sapiens;GSM15530;Keto3;No;Pret;A;9;
GSE982;Homo sapiens;GSM15531;EGFR1;No;Pret;A;10;
GSE982;Homo sapiens;GSM15533;EGFR2;No;Pret;A;10;
GSE982;Homo sapiens;GSM15535;EGFR3;No;Pret;A;10;
GSE982;Homo sapiens;GSM15536;Phen1;No;Pret;A;11;
GSE982;Homo sapiens;GSM15538;Phen2;No;Pret;A;11;
GSE982;Homo sapiens;GSM15540;Phen3;No;Pret;A;11;
GSE982;Homo sapiens;GSM15542;5FUD1;No;Pret;A;12;
GSE982;Homo sapiens;GSM15543;5FUD2;No;Pret;A;12;
GSE982;Homo sapiens;GSM15545;5FUD3;No;Pret;A;12;
GSE982;Homo sapiens;GSM15546;Perg1;No;Pret;A;13;
GSE982;Homo sapiens;GSM15548;Perg2;No;Pret;A;13;
GSE982;Homo sapiens;GSM15550;Perg3;No;Pret;A;13;
GSE982;Homo sapiens;GSM15552;Scop1;No;Pret;A;14;
GSE982;Homo sapiens;GSM15553;Scop2;No;Pret;A;14;
GSE982;Homo sapiens;GSM15554;Scop3;No;Pret;A;14;
GSE982;Homo sapiens;GSM15555;5FU1;No;Pret;A;15;
GSE982;Homo sapiens;GSM15556;5FU2;No;Pret;A;15;
GSE982;Homo sapiens;GSM15557;5FU3;No;Pret;A;15;
GSE982;Homo sapiens;GSM15558;Caff1;No;Pret;A;16;
GSE982;Homo sapiens;GSM15559;Caff2;No;Pret;A;16;
GSE982;Homo sapiens;GSM15560;Caff3;No;Pret;A;16;
GSE982;Homo sapiens;GSM15561;VitD1;No;Pret;A;17;
GSE982;Homo sapiens;GSM15562;VitD2;No;Pret;A;17;
GSE982;Homo sapiens;GSM15563;VitD3;No;Pret;A;17;
GSE982;Homo sapiens;GSM15564;Apo1;No;Pret;A;18;
GSE982;Homo sapiens;GSM15565;Apo2;No;Pret;A;18;
GSE982;Homo sapiens;GSM15566;Apo3;No;Pret;A;18;
GSE982;Homo sapiens;GSM15567;PMA1;No;Pret;A;19;
GSE982;Homo sapiens;GSM15568;PMA2;No;Pret;A;19;
GSE982;Homo sapiens;GSM15569;PMA3;No;Pret;A;19;
GSE982;Homo sapiens;GSM15570;cyc1;No;Pret;A;20;
GSE982;Homo sapiens;GSM15571;cyc2;No;Pret;A;20;
GSE982;Homo sapiens;GSM15572;cyc3;No;Pret;A;20;
GSE982;Homo sapiens;GSM15573;Undiff1B;No;Pret;A;21;
GSE982;Homo sapiens;GSM15574;Undiff2B;No;Pret;A;21;
GSE982;Homo sapiens;GSM15575;Undiff3B;No;Pret;A;21;
GSE982;Homo sapiens;GSM15576;DMSO1B;No;Cont;A;0;
GSE982;Homo sapiens;GSM15577;DMSO2B;No;Cont;A;0;
GSE982;Homo sapiens;GSM15578;DMSO3B;No;Cont;A;0;
GSE982;Homo sapiens;GSM15611;AML7;No;Pret;A;22;
GSE982;Homo sapiens;GSM15612;AML8;No;Pret;A;22;
GSE982;Homo sapiens;GSM15613;AML9;No;Pret;A;22;
