Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Experiment;Sample;Overall_Design
GSE70955;Homo sapiens;GSM1824036;Embryonic stem cell, biological rep1;No;Pert;A;1;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824037;Embryonic stem cell, biological rep2;No;Pert;A;1;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824038;Embryonic stem cell, biological rep3;No;Pert;A;1;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824039;Fetal Skeletal muscle, biological rep1;No;Pert;A;2;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824040;Fetal Skeletal muscle, biological rep2;No;Pert;A;2;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824041;Fetal Skeletal muscle, biological rep3;No;Pert;A;2;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824042;Differentiated muscle cell, biological rep1;No;Pert;A;3;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824043;Differentiated muscle cell, biological rep2;No;Pert;A;3;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824044;Differentiated muscle cell, biological rep3;No;Pert;A;3;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
GSE70955;Homo sapiens;GSM1824045;Control Differentiated muscle cell, biological rep1;No;Pert;A;4;Human embryonic stem cell were differentiated to skeletal muscle and compared to non-differentiated cells in triplicate biological replicates. For the confirmation of differentiated cell's characteristics and the global mRNA profiles, We used microarrays to detail the global programme of gene expression underlying cellularisation and identified distinct classes of up-regulated genes during this process. Further more, we used microarrys for the comparing control and disease gene expression profiles, again in triplicate.
