Refrence Series;Organism;Sample Id;Characteristic;Time;Type;Experiment;Sample;Overall_Design
GSE7579;Homo sapiens;GSM179757;Erythroid progenitor cells. SCF+Epo cells 0hr 1.;Yes;Pert;A;0;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180044;Erythroid progenitor cells. SCF+Epo cells 0hr 2.;Yes;Pert;A;0;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180045;Erythroid progenitor cells. Epo+insulin cells 8hr 1.;Yes;Pert;B;8;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180046;Erythroid progenitor cells. Epo+insulin cells 8hr 2.;Yes;Pert;B;8;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180047;Erythroid progenitor cells. Epo+insulin cells 24hr 1.;Yes;Pert;B;24;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180048;Erythroid progenitor cells. Epo+insulin cells 24hr 2.;Yes;Pert;B;24;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180049;Erythroid progenitor cells. Epo+insulin cells 48hr 1.;Yes;Pert;B;48;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180050;Erythroid progenitor cells. Epo+insulin cells 48hr 2.;Yes;Pert;B;48;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180051;Erythroid progenitor cells. Epo+insulin cells 8hr +T3 +9cRA 2.;Yes;Pert;C;8;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
GSE7579;Homo sapiens;GSM180052;Erythroid progenitor cells. Epo+insulin cells 24hr +T3 +9cRA 2.;Yes;Pert;C;24;13 hybridizations in two individual experiments.Experiment 1:1_SCF/Epo, 1_Epo/insulin(8h), 1_Epo/insulin(24h), 1_Epo/insulin(48h)Experiment 2:2_SCF/Epo, 2_Epo/insulin(8h), 2_Epo/insulin(24h), 2_Epo/insulin(48h)2_Epo/insulin+T3(8h), 2_Epo/insulin+9cRA(8h) 2_Epo/insulin+T3+9cRA(8h), , 2_Epo/insulin+T3+9cRA(24h), 2_Epo/insulin+T3+9cRA(48h)
